xref,seg_layer,nverts,closed,wkt
SEGMENTATION - MTA,L.16,2,0,"LINESTRING(6533.2162 55614.2589, 6527.6909 55607.3768)"
SEGMENTATION - MTA,609-610,2,0,"LINESTRING(5855.7662 55895.1826, 5855.1322 55898.1148)"
SEGMENTATION - MTA,C.60,2,0,"LINESTRING(5250.0191 55854.2725, 5219.5377 55940.5377)"
SEGMENTATION - MTA,C.59,2,0,"LINESTRING(5287.1680 55809.2760, 5253.9717 55848.1171)"
SEGMENTATION - MTA,C.57,2,0,"LINESTRING(5325.4672 55777.8886, 5298.2565 55799.7353)"
SEGMENTATION - MTA,C.56,2,0,"LINESTRING(5332.0654 55772.5916, 5329.7260 55774.4698)"
SEGMENTATION - MTA,C.55,2,0,"LINESTRING(5337.5216 55768.2112, 5335.1822 55770.0893)"
SEGMENTATION - MTA,C.54,2,0,"LINESTRING(5346.7474 55760.8045, 5414.3246 55706.5487)"
SEGMENTATION - MTA,M.1,2,0,"LINESTRING(5396.6693 55739.8352, 5342.3309 55764.5978)"
SEGMENTATION - MTA,M.2,3,0,"LINESTRING(5529.1608 55761.8697, 5481.4434 55744.4845, 5404.0278 55738.3097)"
SEGMENTATION - MTA,M2.1,2,0,"LINESTRING(5419.3477 55701.8926, 5425.5985 55644.6973)"
SEGMENTATION - MTA,C.53,2,0,"LINESTRING(5419.5247 55702.3769, 5486.2908 55648.7723)"
SEGMENTATION - MTA,M2.3,2,0,"LINESTRING(5426.1175 55644.5652, 5479.1132 55710.5729)"
SEGMENTATION - MTA,M2.4,2,0,"LINESTRING(5482.8527 55708.0850, 5488.9445 55652.3846)"
SEGMENTATION - MTA,M2.2,2,0,"LINESTRING(5429.3596 55641.6593, 5485.7454 55648.5712)"
SEGMENTATION - MTA,M2.5,3,0,"LINESTRING(5486.6467 55713.5709, 5515.5936 55749.6251, 5530.1830 55761.7940)"
SEGMENTATION - MTA,M.3,2,0,"LINESTRING(5534.5731 55763.9130, 5537.3789 55764.9823)"
SEGMENTATION - MTA,M.4,2,0,"LINESTRING(5542.9869 55767.1191, 5584.8852 55783.6500)"
