xref,seg_layer,label,x,y
SEGMENTATION - MTA,K1.1,K1.1,5854.8546,57019.5959
SEGMENTATION - MTA,K1.3,K1.3,5806.5239,57126.0792
SEGMENTATION - MTA,K2.1,K2.1,5953.3806,56961.8417
SEGMENTATION - MTA,K2.2,K2.2,5980.8166,56939.8066
SEGMENTATION - MTA,K2.3,K2.3,5983.5752,56984.7796
SEGMENTATION - MTA,K3.2,K3.2,6158.0033,56602.8387
SEGMENTATION - MTA,K3.1,K3.1,6171.3011,56563.5709
SEGMENTATION - MTA,K3.4,K3.4,6221.1964,56650.3143
SEGMENTATION - MTA,K3.5,K3.5,6274.0067,56717.0068
SEGMENTATION - MTA,K4.1,K4.1,6191.3168,56477.1297
SEGMENTATION - MTA,K3.3,K3.3,6199.0017,56622.7609
SEGMENTATION - MTA,K4.2,K4.2,6223.5528,56445.7499
SEGMENTATION - MTA,K4.3,K4.3,6218.73,56492.1798
SEGMENTATION - MTA,K4.4,K4.4,6246.5221,56527.1844
SEGMENTATION - MTA,K4.6,K4.6,6333.7172,56637.9685
SEGMENTATION - MTA,K4.5,K4.5,6294.3619,56586.7569
SEGMENTATION - MTA,K5.1,K5.1,6711.0213,56320.8206
SEGMENTATION - MTA,K5.2,K5.2,6742.1578,56305.6849
SEGMENTATION - MTA,K5.3,K5.3,6748.2411,56363.6189
SEGMENTATION - MTA,C.53,\pxqc;C.53,5455.4249,55668.4165
SEGMENTATION - MTA,C.54,\pxqc;C.54,5378.028,55730.5528
SEGMENTATION - MTA,C.55,\pxqc;C.55,5337.1174,55763.3985
SEGMENTATION - MTA,C.56,\pxqc;C.56,5325.769,55772.5094
SEGMENTATION - MTA,C.57,\pxqc;C.57,5309.3539,55785.6882
SEGMENTATION - MTA,C.59,C.59,5266.8969,55824.5771
SEGMENTATION - MTA,C.60,\pxqc;C.60,5225.6181,55894.2678
SEGMENTATION - MTA,M2.3,M2.3,5449.007,55687.4035
SEGMENTATION - MTA,M2.1,M2.1,5425.5605,55676.6276
SEGMENTATION - MTA,M2.2,M2.2,5460.1416,55648.8649
SEGMENTATION - MTA,M2.4,M2.4,5483.0553,55677.4061
SEGMENTATION - MTA,M2.5,M2.5,5507.1639,55727.3327
SEGMENTATION - MTA,M.1,\pxqc;M.1,5372.3189,55754.5588
SEGMENTATION - MTA,M.2,\pxqc;M.2,5464.6562,55732.5917
SEGMENTATION - MTA,M.3,\pxqc;M.3,5541.0087,55759.0654
SEGMENTATION - MTA,M.4,\pxqc;M.4,5569.01,55769.898
SEGMENTATION - MTA,M.5,\pxqc;M.5,5609.9598,55786.4943
SEGMENTATION - MTA,M.6,\pxqc;M.6,5649.0127,55803.1528
SEGMENTATION - MTA,M.7,\pxqc;M.7,5687.3987,55820.3372
SEGMENTATION - MTA,M.8,\pxqc;M.8,5721.0076,55836.055
SEGMENTATION - MTA,M.10,M.10,5771.7903,55850.3198
