sheet,source_layer,segments,on_sheet_length_m,approx_geometry_segments
LOC-01,CV-NEW SEC SAWCUT,23,606.72,0
LOC-01,CV-EX SEC CONDUIT,21,490.88,0
LOC-01,CV_INNER DUCT 4x110mm dia,3,84.63,0
LOC-01,CV_OUTER DUCT 4x110mm dia,2,81.53,0
LOC-01,CV_STH DUCT 6x110mm dia,1,65.63,0
LOC-01,CV_DUCT CROSSING 6x110mm dia,1,53.33,0
LOC-01,CV-NEW SEC CONDUIT,7,48.97,0
LOC-01,CV_GRND DUCT,1,1.55,0
LOC-02,CV-EX SEC CONDUIT,10,230.66,0
LOC-02,CV_OUTER DUCT 4x110mm dia,1,110.82,0
LOC-02,CV-NEW SEC CONDUIT,1,6.23,0
LOC-02,CV_GRND DUCT,1,1.64,0
LOC-03,CV-EX SEC CONDUIT,29,541.46,0
LOC-03,CV-NEW SEC SAWCUT,11,259.07,0
LOC-03,CV_INNER DUCT 4x110mm dia,2,84.19,0
LOC-03,CV_OUTER DUCT 4x110mm dia,2,81.7,0
LOC-03,CV_DUCT CROSSING 6x110mm dia,1,57.78,0
LOC-03,CV-NEW SEC CONDUIT,5,46.62,0
LOC-03,CV_STH DUCT 6x110mm dia,1,30.41,0
LOC-03,CV_GRND DUCT,2,2.38,0
