sheet,source_layer,source_xref,approx_geometry,on_sheet_length_m,wkt_zia_local_grid_m
LOC-01,CV-NEW SEC SAWCUT,X_EL_SECONDARY CABLE LAYOUT,0,29.698,"LINESTRING(6130.5350 54442.0000, 6154.0379 54460.1543)"
LOC-01,CV-NEW SEC SAWCUT,X_EL_SECONDARY CABLE LAYOUT,0,28.886,"LINESTRING(6136.3772 54437.2962, 6154.0379 54460.1543)"
LOC-01,CV-NEW SEC SAWCUT,X_EL_SECONDARY CABLE LAYOUT,0,30.034,"LINESTRING(6142.2290 54432.5390, 6154.0379 54460.1543)"
LOC-01,CV-NEW SEC SAWCUT,X_EL_SECONDARY CABLE LAYOUT,0,32.903,"LINESTRING(6154.0379 54460.1543, 6148.0496 54427.8004)"
LOC-01,CV-NEW SEC SAWCUT,X_EL_SECONDARY CABLE LAYOUT,0,31.288,"LINESTRING(6153.8428 54423.1478, 6164.3921 54452.6035)"
LOC-01,CV-NEW SEC SAWCUT,X_EL_SECONDARY CABLE LAYOUT,0,34.481,"LINESTRING(6164.3921 54452.6035, 6159.6926 54418.4446)"
LOC-01,CV-NEW SEC SAWCUT,X_EL_SECONDARY CABLE LAYOUT,0,35.066,"LINESTRING(6165.1735 54414.1494, 6169.3861 54448.9617)"
LOC-01,CV-NEW SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,11.486,"LINESTRING(6178.3347 54444.0732, 6172.7025 54434.0633)"
LOC-01,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,30.082,"LINESTRING(6177.1804 54404.3169, 6172.7025 54434.0633)"
LOC-01,CV-NEW SEC SAWCUT,X_EL_SECONDARY CABLE LAYOUT,0,15.607,"LINESTRING(6170.8910 54433.4199, 6169.3691 54448.9522)"
LOC-01,CV-NEW SEC SAWCUT,X_EL_SECONDARY CABLE LAYOUT,0,14.758,"LINESTRING(6162.0240 54438.0370, 6164.3921 54452.6035)"
LOC-01,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,26.21,"LINESTRING(6149.5497 54446.3483, 6172.7025 54434.0633)"
LOC-01,CV-NEW SEC SAWCUT,X_EL_SECONDARY CABLE LAYOUT,0,14.531,"LINESTRING(6180.1060 54429.6570, 6178.3258 54444.0785)"
LOC-01,CV-NEW SEC SAWCUT,X_EL_SECONDARY CABLE LAYOUT,0,61.426,"LINESTRING(6124.4540 54446.3501, 6111.6482 54433.2245, 6099.9363 54431.1068, 6112.5982 54432.7406, 6124.9376 54446.4158)"
LOC-01,CV-NEW SEC SAWCUT,X_EL_SECONDARY CABLE LAYOUT,0,8.854,"LINESTRING(6134.6760 54435.3871, 6127.7946 54429.8150)"
LOC-01,CV-NEW SEC SAWCUT,X_EL_SECONDARY CABLE LAYOUT,0,36.994,"LINESTRING(6129.6199 54440.8015, 6125.6856 54417.1199, 6119.9412 54405.4720)"
LOC-01,CV-NEW SEC SAWCUT,X_EL_SECONDARY CABLE LAYOUT,0,30.688,"LINESTRING(6139.1760 54429.3841, 6119.9412 54405.4720)"
LOC-01,CV-NEW SEC SAWCUT,X_EL_SECONDARY CABLE LAYOUT,0,9.714,"LINESTRING(6143.2380 54423.0891, 6133.5496 54422.3895)"
LOC-01,CV-NEW SEC SAWCUT,X_EL_SECONDARY CABLE LAYOUT,0,30.309,"LINESTRING(6149.9526 54409.7103, 6119.9412 54405.4720)"
LOC-01,CV-NEW SEC SAWCUT,X_EL_SECONDARY CABLE LAYOUT,0,10.766,"LINESTRING(6146.8580 54416.5171, 6139.9118 54408.2923)"
LOC-01,CV-NEW SEC SAWCUT,X_EL_SECONDARY CABLE LAYOUT,0,29.234,"LINESTRING(6152.3503 54402.9681, 6126.6773 54388.9857)"
LOC-01,CV-NEW SEC SAWCUT,X_EL_SECONDARY CABLE LAYOUT,0,10.719,"LINESTRING(6154.5728 54395.6979, 6144.2409 54398.5514)"
LOC-01,CV-NEW SEC SAWCUT,X_EL_SECONDARY CABLE LAYOUT,0,29.405,"LINESTRING(6156.0771 54388.4415, 6126.6773 54388.9857)"
LOC-01,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,23.279,"LINESTRING(6171.0337 54410.8444, 6172.7025 54434.0633)"
LOC-01,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,19.859,"LINESTRING(6106.2567 54486.3518, 6090.9291 54473.7252)"
LOC-01,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,19.687,"LINESTRING(6096.5022 54469.2513, 6106.2567 54486.3518)"
LOC-01,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,22.494,"LINESTRING(6085.2948 54478.1918, 6106.2567 54486.3518)"
LOC-01,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,21.993,"LINESTRING(6102.0935 54464.7564, 6106.2567 54486.3518)"
LOC-01,CV-NEW SEC SAWCUT,X_EL_SECONDARY CABLE LAYOUT,0,28.403,"LINESTRING(6107.6725 54460.2786, 6109.8173 54488.6001)"
LOC-01,CV-NEW SEC SAWCUT,X_EL_SECONDARY CABLE LAYOUT,0,16.925,"LINESTRING(6084.0069 54484.1316, 6100.3311 54488.6001)"
