sheet,deck_asset_id,deck_symbol_type,in_plot_frame,registered_x_local,registered_y_local,nearest_source_fixture_layer,nearest_source_block,nearest_source_x,nearest_source_y,residual_m
LOC-01,RRM.76,Runway guard light / RRM,True,6138.4764,54395.8765,EL-RRM,RRM,6139.7272,54393.7342,2.4807
LOC-01,RRM.282,Runway guard light / RRM,True,6125.8511,54422.7905,EL-RRM,RRM,6127.07,54420.754,2.3734
LOC-01,TCC103.11.020,Taxiway centreline light,True,6165.1734,54414.1492,EL-TAXICL,TCL-c_gg,6165.1735,54414.1494,0.0003
LOC-01,RRM.539,Runway guard light / RRM,True,6116.2099,54434.365,EL-RRM,RRM,6117.483,54432.336,2.3954
LOC-01,X_CV_STH_PITS &.27153,Existing transformer pit,True,6105.2282,54444.633,EL-RRM,RRM,6106.488,54442.512,2.4669
LOC-01,RRM.541,Runway guard light / RRM,True,6090.3415,54457.848,EL-RRM,RRM,6091.515,54455.799,2.3612
LOC-01,X_CV_STH_PITS &.27154,Existing transformer pit,True,6133.2369,54409.8134,EL-RRM,RRM,6134.518,54407.744,2.4338
LOC-01,TCC103.11.020,Taxiway centreline light,True,6165.5423,54413.7413,EL-TAXICL,TCL-s_gg,6165.5424,54413.7415,0.0002
LOC-01,TCC103.11.019,Taxiway centreline light,True,6177.2369,54404.3201,EL-TAXICL,TCL-s_gg,6177.2369,54404.3203,0.0002
LOC-01,TCCECH-04/036,Taxiway centreline light,True,6159.735,54418.4978,EL-TAXICL,TCL-s_gg,6159.735,54418.4975,0.0004
LOC-01,TEC102.02.047,Taxiway centreline light,True,6149.541,54446.4125,EL-TAXIWAY EDGE,TWE-in,6149.5411,54446.4129,0.0004
LOC-01,TEC102.02.048,Taxiway centreline light,True,6161.9983,54438.083,EL-TAXIWAY EDGE,TWE-in,6161.9984,54438.0833,0.0003
LOC-01,TEC102.02.048,Taxiway centreline light,True,6170.8947,54433.4794,EL-TAXIWAY EDGE,TWE-in,6170.8948,54433.4797,0.0003
LOC-01,HH.E6.034,Existing handhole,True,6171.3655,54451.1512,CV_HH,Pit,6172.5975,54449.1147,2.3801
LOC-01,TCCECH.04.016,Taxiway centreline light,True,6113.2707,54455.7847,EL-TAXICL,TCL-s_gg,6113.271,54455.785,0.0004
LOC-01,TCCECH.03.016,Taxiway centreline light,True,6107.6724,54460.2783,EL-TAXICL,TCL-s_gg,6107.672,54460.278,0.0005
LOC-01,TCCECH.04.015,Taxiway centreline light,True,6102.094,54464.757,EL-TAXICL,TCL-s_gg,6102.094,54464.757,0.0
LOC-01,TCCECH.03.015,Taxiway centreline light,True,6096.5017,54469.2507,EL-TAXICL,TCL-s_gg,6096.502,54469.251,0.0005
LOC-01,TCCECH.03.015,Taxiway centreline light,True,6090.9293,54473.7253,EL-TAXICL,TCL-s_gg,6090.929,54473.725,0.0005
LOC-01,SBC102.02.027,Stop bar light,True,6116.2129,54439.9844,EL-STOPBAR,STB-in,6116.2129,54439.9846,0.0002
LOC-01,TCC103.11.019,Taxiway centreline light,True,6177.9297,54404.705,EL-TAXICL,TCL-s_gb,6177.9297,54404.7052,0.0002
LOC-01,TCCECH.03.038,Taxiway centreline light,True,6149.953,54409.7104,EL-TAXICL,TCL-c_gg,6149.9526,54409.7103,0.0004
LOC-01,TCCECH.04.037,Taxiway centreline light,True,6152.3503,54402.9684,EL-TAXICL,TCL-c_gg,6152.3503,54402.968,0.0004
LOC-01,TCCECH.03.039,Taxiway centreline light,True,6154.5726,54395.6976,EL-TAXICL,TCL-c_gg,6154.5728,54395.6978,0.0003
LOC-01,TCCECH.04.038,Taxiway centreline light,True,6156.0772,54388.4418,EL-TAXICL,TCL-c_gg,6156.0771,54388.4415,0.0003
LOC-01,TCCECH.03.020,Taxiway centreline light,True,6177.9847,54408.081,EL-TAXICL,TCL-c_gg,6177.9847,54408.0812,0.0002
LOC-01,TCC103.12.019,Taxiway centreline light,True,6171.0337,54410.8441,EL-TAXICL,TCL-c_gg,6171.0337,54410.8444,0.0003
LOC-01,SBC102-01/026,Stop bar light,True,6136.5768,54463.0426,CV_ETRANS HH,ETRANS-PIT,6137.7781,54460.969,2.3964
LOC-01,HH.E6.039,Existing handhole,True,6101.2663,54438.2749,CV_ETRANS HH,ETRANS-PIT,6102.4434,54436.1547,2.425
LOC-01,HH.E6.041,Existing handhole,True,6124.7404,54411.1769,CV_ETRANS HH,ETRANS-PIT,6126.0163,54409.1219,2.4189
LOC-01,TCCECH.03.015,Taxiway centreline light,True,6105.0611,54488.394,CV_ETRANS HH,ETRANS-PIT,6106.2557,54486.3525,2.3653
LOC-01,TEC102.02.048,Taxiway centreline light,True,6171.4155,54436.1946,CV_ETRANS HH,ETRANS-PIT,6172.7025,54434.0633,2.4897
LOC-01,HH.E6.038,Existing handhole,True,6139.5649,54471.744,CV_HH,Pit,6140.8288,54469.6905,2.4113
LOC-01,HH.E6.038,Existing handhole,True,6141.9702,54470.0415,CV_HH,Pit,6140.8288,54469.6905,1.1942
LOC-01,HH.E6.036,Existing handhole,True,6152.79,54462.2129,CV_HH,Pit,6154.0025,54460.1195,2.4192
LOC-01,HH.E6.035,Existing handhole,True,6163.108,54454.6151,CV_HH,Pit,6164.3692,54452.5859,2.3893
LOC-01,HH.E6.040,Existing handhole,True,6110.7976,54420.2772,CV_HH,Pit,6112.0454,54418.174,2.4455
LOC-01,HH.E6.041,Existing handhole,True,6118.6942,54407.513,CV_HH,Pit,6119.9389,54405.4693,2.3929
LOC-01,HH.E6.042,Existing handhole,True,6125.4133,54391.1139,CV_HH,Pit,6126.675,54388.9831,2.4763
LOC-01,HH.E6.035,Existing handhole,True,6168.1165,54450.9852,CV_HH,Pit,6169.3699,54448.9549,2.3861
LOC-01,HH.E6.033,Existing handhole,True,6177.0618,54446.1797,CV_HH,Pit,6178.3258,54444.0785,2.452
LOC-01,HH.E6.039,Existing handhole,True,6098.7461,54433.2213,CV_HH,Pit,6099.9363,54431.1068,2.4265
LOC-01,P6.009,Existing transformer pit,True,6116.0689,54479.6766,CV_GRND,Grounding,6116.8214,54478.4254,1.4601
LOC-01,P6.038,Existing transformer pit,True,6090.0616,54447.3281,CV_ETRANS MH,E_OLD MH,6091.2763,54445.2877,2.3746
LOC-01,MH.E.024,Existing manhole,True,6089.047,54441.3629,CV_MH,N_MH,6090.3163,54439.2953,2.4262
LOC-01,P6.009,Existing transformer pit,True,6123.2417,54483.9863,CV_MH,N_MH,6124.5167,54481.8929,2.4511
LOC-01,X_CV_STH_PITS &.23918,Existing transformer pit,True,6125.65,54470.5403,CV_GRND PIT,EA_Pit,6126.8887,54468.4788,2.405
LOC-01,SGC102.02.017,Sign foundation,True,6097.5295,54424.19,EL-SGN-FNDTN,*U183,6097.5297,54424.1904,0.0004
LOC-01,HH.E6.038,Existing handhole,True,6143.6437,54472.3358,EL-SGN-FNDTN,*U183,6143.6434,54472.3359,0.0003
LOC-01,TEC102.02.049,Taxiway centreline light,True,6180.106,54429.6576,EL-TAXIWAY EDGE,TWE-in,6180.106,54429.657,0.0006
LOC-01,TCC103.11.027,Taxiway centreline light,False,6191.6484,54401.6958,EL-TAXICL,TCL-c_gg,6192.7523,54405.7549,4.2065
LOC-01,TCCECH.04.019,Taxiway centreline light,False,6191.6972,54416.3476,EL-TAXIWAY EDGE,TWE-in,6189.6162,54426.0118,9.8858
LOC-01,TCCECH.04.019,Taxiway centreline light,False,6191.6972,54413.4172,EL-TAXICL,TCL-c_gg,6192.7523,54405.7549,7.7346
LOC-01,TCCECH.04.019,Taxiway centreline light,False,6191.6972,54410.4869,EL-TAXICL,TCL-c_gg,6192.7523,54405.7549,4.8482
LOC-01,TCCECH.04.019,Taxiway centreline light,False,6191.6973,54407.5565,EL-TAXICL,TCL-c_gg,6192.7523,54405.7549,2.0878
LOC-01,SBC102-02/025,Stop bar light,True,6127.4245,54454.0063,EL-STOPBAR,STB-in,6127.425,54454.0057,0.0007
LOC-01,SBC102-01/028,Stop bar light,True,6125.5471,54451.6659,EL-STOPBAR,STB-in,6125.5469,54451.6663,0.0004
LOC-01,SBC102-02/026,Stop bar light,True,6123.6687,54449.3266,EL-STOPBAR,STB-in,6123.6687,54449.3269,0.0003
LOC-01,SBC102-01/029,Stop bar light,True,6121.7902,54446.9873,EL-STOPBAR,STB-in,6121.7906,54446.9876,0.0005
LOC-01,SBC102-02/027,Stop bar light,True,6119.9128,54444.648,EL-STOPBAR,STB-in,6119.9125,54444.6482,0.0004
LOC-01,SBC102.02.027,Stop bar light,True,6118.0344,54442.3087,EL-STOPBAR,STB-in,6118.0344,54442.3088,0.0001
LOC-01,SBC102-01/029,Stop bar light,True,6129.7729,54441.0551,EL-TAXICL,TCL-c_gg,6129.773,54441.055,0.0002
LOC-01,TCCECH-03/036,Taxiway centreline light,True,6134.6764,54435.3868,EL-TAXICL,TCL-c_gg,6134.676,54435.387,0.0005
LOC-01,TCCECH-04/035,Taxiway centreline light,True,6139.1761,54429.3846,EL-TAXICL,TCL-c_gg,6139.176,54429.384,0.0006
LOC-01,TCCECH-03/037,Taxiway centreline light,True,6143.2379,54423.0894,EL-TAXICL,TCL-c_gg,6143.238,54423.089,0.0005
LOC-01,TCCECH-04/036,Taxiway centreline light,True,6146.8579,54416.5174,EL-TAXICL,TCL-c_gg,6146.858,54416.517,0.0004
LOC-01,SBC102-01/029,Stop bar light,True,6124.4544,54446.3505,EL-TAXICL,TCL-c_gg,6124.454,54446.35,0.0007
LOC-01,SBC102-02/026,Stop bar light,True,6124.9373,54446.4155,EL-TAXICL,TCL-s_gg,6124.9376,54446.4157,0.0004
LOC-01,TCC103.11.027,Taxiway centreline light,False,6191.6973,54404.6262,EL-TAXICL,TCL-c_gg,6192.7523,54405.7549,1.545
LOC-01,SBC102-01/027,Stop bar light,True,6129.303,54456.3456,EL-STOPBAR,STB-in,6129.3031,54456.3451,0.0005
LOC-02,RRM.545,Runway guard light / RRM,True,5952.9954,54569.7499,EL-RRM,RRM,5954.177,54567.74,2.3315
LOC-02,RRM.546,Runway guard light / RRM,True,5914.0772,54601.0985,EL-RRM,RRM,5915.204,54599.08,2.3117
LOC-02,RRM.554,Runway guard light / RRM,True,5968.3318,54588.8752,EL-RRM,RRM,5969.496,54586.886,2.3048
LOC-02,RRM.556,Runway guard light / RRM,True,5905.8986,54639.014,EL-RRM,RRM,5907.067,54636.974,2.3509
LOC-02,RRM.556,Runway guard light / RRM,True,5915.3958,54636.8587,CV_GRND PIT,EA_Pit,5916.5403,54634.8386,2.3218
LOC-02,TCCECH.03.010,Taxiway centreline light,True,5991.7557,54553.3459,EL-TAXICL,TCL-s_gg,5991.756,54553.346,0.0003
LOC-02,TCCECH.04.009,Taxiway centreline light,True,5980.0493,54562.7411,EL-TAXICL,TCL-s_gg,5980.049,54562.741,0.0003
LOC-02,TCCECH.04.007,Taxiway centreline light,True,5933.2454,54600.3187,EL-TAXICL,TCL-s_gg,5933.245,54600.319,0.0005
LOC-02,TCCECH.03.007,Taxiway centreline light,True,5921.5659,54609.7079,EL-TAXICL,TCL-s_gg,5921.566,54609.708,0.0002
